transcription_id,sentiment
0,"[[{'label': 'POSITIVE', 'score': 0.9430457353591919}], [{'label': 'NEGATIVE', 'score': 0.9678047299385071}], [{'label': 'NEGATIVE', 'score': 0.9819899797439575}], [{'label': 'NEGATIVE', 'score': 0.9372491836547852}]]"
1,"[[{'label': 'POSITIVE', 'score': 0.9975887537002563}], [{'label': 'POSITIVE', 'score': 0.9977434873580933}], [{'label': 'POSITIVE', 'score': 0.9993687272071838}], [{'label': 'POSITIVE', 'score': 0.9993146657943726}], [{'label': 'POSITIVE', 'score': 0.9995243549346924}], [{'label': 'POSITIVE', 'score': 0.9997132420539856}], [{'label': 'POSITIVE', 'score': 0.9997472167015076}], [{'label': 'POSITIVE', 'score': 0.9998155236244202}], [{'label': 'POSITIVE', 'score': 0.9995539784431458}], [{'label': 'POSITIVE', 'score': 0.9764137864112854}], [{'label': 'NEGATIVE', 'score': 0.8272051215171814}], [{'label': 'NEGATIVE', 'score': 0.9632816314697266}], [{'label': 'NEGATIVE', 'score': 0.9980844259262085}], [{'label': 'POSITIVE', 'score': 0.9763482213020325}], [{'label': 'POSITIVE', 'score': 0.9997047781944275}]]"
2,"[[{'label': 'POSITIVE', 'score': 0.9980834722518921}]]"
3,"[[{'label': 'POSITIVE', 'score': 0.9959506988525391}], [{'label': 'POSITIVE', 'score': 0.9502816200256348}], [{'label': 'POSITIVE', 'score': 0.9943529367446899}], [{'label': 'POSITIVE', 'score': 0.998428463935852}], [{'label': 'POSITIVE', 'score': 0.9997848868370056}], [{'label': 'POSITIVE', 'score': 0.9995156526565552}], [{'label': 'POSITIVE', 'score': 0.9957132339477539}], [{'label': 'POSITIVE', 'score': 0.9997825026512146}]]"
4,"[[{'label': 'POSITIVE', 'score': 0.9974837303161621}], [{'label': 'POSITIVE', 'score': 0.9973873496055603}], [{'label': 'NEGATIVE', 'score': 0.9153386354446411}], [{'label': 'POSITIVE', 'score': 0.9977839589118958}], [{'label': 'POSITIVE', 'score': 0.9930874705314636}], [{'label': 'POSITIVE', 'score': 0.9942904710769653}], [{'label': 'NEGATIVE', 'score': 0.9110720157623291}]]"
5,"[[{'label': 'POSITIVE', 'score': 0.9998482465744019}], [{'label': 'POSITIVE', 'score': 0.9349651336669922}], [{'label': 'NEGATIVE', 'score': 0.8596906065940857}], [{'label': 'POSITIVE', 'score': 0.9996001124382019}], [{'label': 'POSITIVE', 'score': 0.7816964387893677}], [{'label': 'NEGATIVE', 'score': 0.9995042085647583}], [{'label': 'POSITIVE', 'score': 0.9920491576194763}], [{'label': 'NEGATIVE', 'score': 0.8807252049446106}], [{'label': 'NEGATIVE', 'score': 0.993030846118927}], [{'label': 'POSITIVE', 'score': 0.9635584950447083}], [{'label': 'POSITIVE', 'score': 0.9996472597122192}], [{'label': 'NEGATIVE', 'score': 0.9237326979637146}], [{'label': 'POSITIVE', 'score': 0.9961503744125366}], [{'label': 'POSITIVE', 'score': 0.9993999004364014}], [{'label': 'POSITIVE', 'score': 0.9918141961097717}], [{'label': 'POSITIVE', 'score': 0.9963682889938354}], [{'label': 'POSITIVE', 'score': 0.9913269877433777}], [{'label': 'NEGATIVE', 'score': 0.9495635032653809}], [{'label': 'POSITIVE', 'score': 0.9998569488525391}], [{'label': 'POSITIVE', 'score': 0.9974023699760437}], [{'label': 'POSITIVE', 'score': 0.9988980293273926}], [{'label': 'POSITIVE', 'score': 0.9991784691810608}], [{'label': 'POSITIVE', 'score': 0.9659894704818726}], [{'label': 'POSITIVE', 'score': 0.9967189431190491}], [{'label': 'POSITIVE', 'score': 0.9965397119522095}], [{'label': 'NEGATIVE', 'score': 0.6829286217689514}], [{'label': 'NEGATIVE', 'score': 0.9920414090156555}], [{'label': 'POSITIVE', 'score': 0.9962399005889893}], [{'label': 'NEGATIVE', 'score': 0.9364264011383057}], [{'label': 'POSITIVE', 'score': 0.9994874000549316}], [{'label': 'POSITIVE', 'score': 0.994204580783844}], [{'label': 'POSITIVE', 'score': 0.9987207055091858}], [{'label': 'POSITIVE', 'score': 0.9954338669776917}], [{'label': 'POSITIVE', 'score': 0.9929640293121338}], [{'label': 'POSITIVE', 'score': 0.9733762145042419}], [{'label': 'POSITIVE', 'score': 0.9997939467430115}], [{'label': 'POSITIVE', 'score': 0.9967265129089355}], [{'label': 'POSITIVE', 'score': 0.9987781643867493}], [{'label': 'POSITIVE', 'score': 0.9594671726226807}], [{'label': 'POSITIVE', 'score': 0.9895827770233154}]]"
6,"[[{'label': 'POSITIVE', 'score': 0.9974690675735474}], [{'label': 'POSITIVE', 'score': 0.9993922710418701}], [{'label': 'POSITIVE', 'score': 0.9957351684570312}], [{'label': 'POSITIVE', 'score': 0.9987514019012451}], [{'label': 'POSITIVE', 'score': 0.9986352324485779}], [{'label': 'POSITIVE', 'score': 0.99776291847229}], [{'label': 'POSITIVE', 'score': 0.9995434880256653}], [{'label': 'POSITIVE', 'score': 0.9997355341911316}], [{'label': 'POSITIVE', 'score': 0.9998101592063904}]]"
7,"[[{'label': 'POSITIVE', 'score': 0.9997246861457825}], [{'label': 'POSITIVE', 'score': 0.9997319579124451}], [{'label': 'POSITIVE', 'score': 0.9964540004730225}], [{'label': 'POSITIVE', 'score': 0.9978035092353821}], [{'label': 'POSITIVE', 'score': 0.9995146989822388}], [{'label': 'POSITIVE', 'score': 0.9995619654655457}], [{'label': 'POSITIVE', 'score': 0.9994698166847229}], [{'label': 'POSITIVE', 'score': 0.9988161325454712}], [{'label': 'POSITIVE', 'score': 0.9986909031867981}], [{'label': 'POSITIVE', 'score': 0.9995241165161133}], [{'label': 'POSITIVE', 'score': 0.9998005032539368}], [{'label': 'POSITIVE', 'score': 0.9996554851531982}], [{'label': 'POSITIVE', 'score': 0.9995474219322205}], [{'label': 'POSITIVE', 'score': 0.9930123686790466}], [{'label': 'POSITIVE', 'score': 0.9997740387916565}], [{'label': 'POSITIVE', 'score': 0.9996523857116699}], [{'label': 'POSITIVE', 'score': 0.9998268485069275}], [{'label': 'POSITIVE', 'score': 0.9996026158332825}], [{'label': 'POSITIVE', 'score': 0.9995623230934143}], [{'label': 'POSITIVE', 'score': 0.9986905455589294}], [{'label': 'POSITIVE', 'score': 0.9977890253067017}], [{'label': 'POSITIVE', 'score': 0.9992801547050476}], [{'label': 'POSITIVE', 'score': 0.9982330799102783}], [{'label': 'POSITIVE', 'score': 0.9996256828308105}], [{'label': 'POSITIVE', 'score': 0.9979227185249329}], [{'label': 'POSITIVE', 'score': 0.9998024106025696}], [{'label': 'POSITIVE', 'score': 0.5617125034332275}], [{'label': 'POSITIVE', 'score': 0.9892410635948181}], [{'label': 'POSITIVE', 'score': 0.9986565113067627}], [{'label': 'POSITIVE', 'score': 0.99505215883255}], [{'label': 'POSITIVE', 'score': 0.9996023774147034}], [{'label': 'POSITIVE', 'score': 0.9980626702308655}], [{'label': 'POSITIVE', 'score': 0.9856501221656799}], [{'label': 'POSITIVE', 'score': 0.999840259552002}], [{'label': 'POSITIVE', 'score': 0.9977623224258423}], [{'label': 'POSITIVE', 'score': 0.9996498823165894}], [{'label': 'POSITIVE', 'score': 0.9369557499885559}], [{'label': 'POSITIVE', 'score': 0.9875807762145996}], [{'label': 'NEGATIVE', 'score': 0.9383743405342102}], [{'label': 'POSITIVE', 'score': 0.9908233880996704}], [{'label': 'POSITIVE', 'score': 0.9993399977684021}], [{'label': 'POSITIVE', 'score': 0.9990032315254211}], [{'label': 'NEGATIVE', 'score': 0.9947819113731384}], [{'label': 'POSITIVE', 'score': 0.9955940842628479}], [{'label': 'POSITIVE', 'score': 0.999855637550354}], [{'label': 'POSITIVE', 'score': 0.9693835377693176}], [{'label': 'POSITIVE', 'score': 0.9995007514953613}], [{'label': 'POSITIVE', 'score': 0.9998743534088135}], [{'label': 'POSITIVE', 'score': 0.9997280240058899}], [{'label': 'POSITIVE', 'score': 0.9997698664665222}], [{'label': 'POSITIVE', 'score': 0.9595030546188354}], [{'label': 'POSITIVE', 'score': 0.5243940949440002}], [{'label': 'POSITIVE', 'score': 0.9988731741905212}], [{'label': 'POSITIVE', 'score': 0.9951199889183044}], [{'label': 'NEGATIVE', 'score': 0.9873894453048706}], [{'label': 'NEGATIVE', 'score': 0.9554845690727234}], [{'label': 'POSITIVE', 'score': 0.999721109867096}], [{'label': 'POSITIVE', 'score': 0.9978868365287781}], [{'label': 'POSITIVE', 'score': 0.9998626708984375}], [{'label': 'POSITIVE', 'score': 0.9996311664581299}], [{'label': 'POSITIVE', 'score': 0.9946116209030151}], [{'label': 'POSITIVE', 'score': 0.9995042085647583}], [{'label': 'POSITIVE', 'score': 0.9994377493858337}], [{'label': 'POSITIVE', 'score': 0.9998587369918823}], [{'label': 'POSITIVE', 'score': 0.8408672213554382}], [{'label': 'POSITIVE', 'score': 0.9993378520011902}], [{'label': 'NEGATIVE', 'score': 0.9701158404350281}], [{'label': 'POSITIVE', 'score': 0.9957764744758606}], [{'label': 'POSITIVE', 'score': 0.999523401260376}], [{'label': 'POSITIVE', 'score': 0.9830942749977112}], [{'label': 'POSITIVE', 'score': 0.999306321144104}], [{'label': 'POSITIVE', 'score': 0.999824583530426}], [{'label': 'POSITIVE', 'score': 0.9930578470230103}], [{'label': 'POSITIVE', 'score': 0.9968793392181396}], [{'label': 'POSITIVE', 'score': 0.949141800403595}], [{'label': 'POSITIVE', 'score': 0.9982991814613342}], [{'label': 'POSITIVE', 'score': 0.9987030029296875}], [{'label': 'POSITIVE', 'score': 0.9996448755264282}], [{'label': 'POSITIVE', 'score': 0.9998631477355957}], [{'label': 'POSITIVE', 'score': 0.9996287822723389}], [{'label': 'POSITIVE', 'score': 0.9974722266197205}], [{'label': 'NEGATIVE', 'score': 0.879183292388916}], [{'label': 'NEGATIVE', 'score': 0.9866821765899658}], [{'label': 'POSITIVE', 'score': 0.992617666721344}], [{'label': 'POSITIVE', 'score': 0.9998016953468323}], [{'label': 'NEGATIVE', 'score': 0.9194671511650085}], [{'label': 'POSITIVE', 'score': 0.9997926354408264}], [{'label': 'POSITIVE', 'score': 0.9929314851760864}], [{'label': 'POSITIVE', 'score': 0.9993553757667542}], [{'label': 'POSITIVE', 'score': 0.9989508390426636}], [{'label': 'POSITIVE', 'score': 0.9981840252876282}], [{'label': 'POSITIVE', 'score': 0.9994550347328186}], [{'label': 'POSITIVE', 'score': 0.9975556135177612}], [{'label': 'POSITIVE', 'score': 0.9848184585571289}], [{'label': 'POSITIVE', 'score': 0.9878352284431458}], [{'label': 'POSITIVE', 'score': 0.9993643164634705}], [{'label': 'POSITIVE', 'score': 0.9968357682228088}], [{'label': 'POSITIVE', 'score': 0.9995750784873962}], [{'label': 'NEGATIVE', 'score': 0.9933431148529053}], [{'label': 'POSITIVE', 'score': 0.9827131032943726}], [{'label': 'POSITIVE', 'score': 0.9997288584709167}], [{'label': 'POSITIVE', 'score': 0.9996635913848877}], [{'label': 'POSITIVE', 'score': 0.9898479580879211}], [{'label': 'POSITIVE', 'score': 0.8486595749855042}], [{'label': 'NEGATIVE', 'score': 0.890625}], [{'label': 'POSITIVE', 'score': 0.950789749622345}], [{'label': 'NEGATIVE', 'score': 0.9937973618507385}], [{'label': 'POSITIVE', 'score': 0.9689549207687378}], [{'label': 'POSITIVE', 'score': 0.9993162155151367}], [{'label': 'POSITIVE', 'score': 0.9982578158378601}], [{'label': 'POSITIVE', 'score': 0.9998152852058411}], [{'label': 'NEGATIVE', 'score': 0.9931567311286926}], [{'label': 'POSITIVE', 'score': 0.9456942677497864}], [{'label': 'NEGATIVE', 'score': 0.9635873436927795}], [{'label': 'NEGATIVE', 'score': 0.9991167187690735}], [{'label': 'POSITIVE', 'score': 0.996965229511261}], [{'label': 'POSITIVE', 'score': 0.999738872051239}], [{'label': 'POSITIVE', 'score': 0.9936530590057373}], [{'label': 'POSITIVE', 'score': 0.9996304512023926}], [{'label': 'POSITIVE', 'score': 0.9996856451034546}], [{'label': 'POSITIVE', 'score': 0.9994096755981445}], [{'label': 'POSITIVE', 'score': 0.9993897676467896}], [{'label': 'POSITIVE', 'score': 0.5118139386177063}], [{'label': 'POSITIVE', 'score': 0.9986690282821655}], [{'label': 'POSITIVE', 'score': 0.9994605183601379}], [{'label': 'POSITIVE', 'score': 0.9966259002685547}], [{'label': 'POSITIVE', 'score': 0.9996863603591919}], [{'label': 'POSITIVE', 'score': 0.9948140382766724}], [{'label': 'POSITIVE', 'score': 0.9946666955947876}], [{'label': 'POSITIVE', 'score': 0.9984065890312195}], [{'label': 'POSITIVE', 'score': 0.9998403787612915}], [{'label': 'POSITIVE', 'score': 0.9975789189338684}], [{'label': 'POSITIVE', 'score': 0.9982874989509583}], [{'label': 'POSITIVE', 'score': 0.9989655017852783}], [{'label': 'POSITIVE', 'score': 0.9991931319236755}], [{'label': 'POSITIVE', 'score': 0.9980452060699463}], [{'label': 'NEGATIVE', 'score': 0.9298740029335022}], [{'label': 'NEGATIVE', 'score': 0.9815102815628052}], [{'label': 'POSITIVE', 'score': 0.9977681636810303}], [{'label': 'NEGATIVE', 'score': 0.8833181262016296}], [{'label': 'POSITIVE', 'score': 0.9955012202262878}], [{'label': 'POSITIVE', 'score': 0.9891202449798584}], [{'label': 'POSITIVE', 'score': 0.9998238682746887}]]"
8,"[[{'label': 'POSITIVE', 'score': 0.9989452958106995}], [{'label': 'NEGATIVE', 'score': 0.977215588092804}], [{'label': 'NEGATIVE', 'score': 0.9411704540252686}]]"
9,"[[{'label': 'POSITIVE', 'score': 0.9964166879653931}], [{'label': 'NEGATIVE', 'score': 0.8967344164848328}], [{'label': 'POSITIVE', 'score': 0.9897331595420837}], [{'label': 'POSITIVE', 'score': 0.93421471118927}], [{'label': 'POSITIVE', 'score': 0.998845100402832}], [{'label': 'POSITIVE', 'score': 0.9976656436920166}], [{'label': 'POSITIVE', 'score': 0.9933949112892151}], [{'label': 'POSITIVE', 'score': 0.9998359680175781}], [{'label': 'POSITIVE', 'score': 0.9872632622718811}], [{'label': 'POSITIVE', 'score': 0.8087161779403687}], [{'label': 'POSITIVE', 'score': 0.9931544065475464}], [{'label': 'POSITIVE', 'score': 0.9973827004432678}], [{'label': 'NEGATIVE', 'score': 0.6975231170654297}], [{'label': 'POSITIVE', 'score': 0.9891819357872009}], [{'label': 'POSITIVE', 'score': 0.9967135190963745}], [{'label': 'POSITIVE', 'score': 0.9983882904052734}], [{'label': 'NEGATIVE', 'score': 0.8899651169776917}], [{'label': 'NEGATIVE', 'score': 0.994084894657135}], [{'label': 'POSITIVE', 'score': 0.9973406195640564}], [{'label': 'POSITIVE', 'score': 0.9987496137619019}], [{'label': 'NEGATIVE', 'score': 0.8240361213684082}], [{'label': 'NEGATIVE', 'score': 0.9751902222633362}], [{'label': 'POSITIVE', 'score': 0.9976605176925659}], [{'label': 'POSITIVE', 'score': 0.9974678754806519}], [{'label': 'NEGATIVE', 'score': 0.7463423609733582}], [{'label': 'POSITIVE', 'score': 0.8280125856399536}], [{'label': 'POSITIVE', 'score': 0.9966289401054382}], [{'label': 'POSITIVE', 'score': 0.9429275393486023}], [{'label': 'POSITIVE', 'score': 0.9884604215621948}], [{'label': 'POSITIVE', 'score': 0.9990137815475464}], [{'label': 'NEGATIVE', 'score': 0.9385164380073547}], [{'label': 'POSITIVE', 'score': 0.9835034608840942}], [{'label': 'POSITIVE', 'score': 0.9993615746498108}], [{'label': 'POSITIVE', 'score': 0.9989314675331116}], [{'label': 'POSITIVE', 'score': 0.9994140863418579}], [{'label': 'POSITIVE', 'score': 0.9998626708984375}], [{'label': 'NEGATIVE', 'score': 0.9852482080459595}], [{'label': 'NEGATIVE', 'score': 0.9715259671211243}], [{'label': 'POSITIVE', 'score': 0.9989141225814819}], [{'label': 'NEGATIVE', 'score': 0.5984469652175903}], [{'label': 'NEGATIVE', 'score': 0.8076371550559998}], [{'label': 'POSITIVE', 'score': 0.9996140599250793}], [{'label': 'POSITIVE', 'score': 0.9997527003288269}], [{'label': 'POSITIVE', 'score': 0.9997391104698181}], [{'label': 'POSITIVE', 'score': 0.9995480179786682}], [{'label': 'POSITIVE', 'score': 0.998643696308136}], [{'label': 'POSITIVE', 'score': 0.9994747042655945}], [{'label': 'POSITIVE', 'score': 0.9994220733642578}], [{'label': 'POSITIVE', 'score': 0.9989198446273804}], [{'label': 'NEGATIVE', 'score': 0.9993243217468262}], [{'label': 'POSITIVE', 'score': 0.995512068271637}], [{'label': 'NEGATIVE', 'score': 0.9781090021133423}], [{'label': 'POSITIVE', 'score': 0.9961678385734558}], [{'label': 'POSITIVE', 'score': 0.9995120763778687}], [{'label': 'POSITIVE', 'score': 0.9880568981170654}]]"
